,Country,Number of athletes,Gold medals,Silver medals,Bronze medals,Total medals,GDP,GDP per capita,Population,Life expectancy,Democracy,Gender equality,Female athletes %,country_code,female_population,male_population,total_population,rural_population,urban_population,transport_work_walking,transport_work_bicycle,sports_facilities_very_satisfied_2019,sports_facilities_very_satisfied_2023,sports_facilities_rather_satisfied_2019,sports_facilities_rather_satisfied_2023,sports_facilities_rather_unsatisfied_2019,sports_facilities_rather_unsatisfied_2023,sports_facilities_rather_notatall_satisfied_2019,sports_facilities_rather_notatall_satisfied_2023,gdp_per_capita_x,gdp_per_capita_y,nutritional_needs,heavy_women_famine,heavy_men_famine,heavy_famine,women_famine,men_famine,famine,under_feeding,energetical_feed,domestic_currency,percent_of_gdp,GF0801,percentage_of_total_employment
146,Mali,23,0,0,0,0,18780322203.7584,831.223466645115,22593590.0,59.417,2.58,0.607,0.08695652174,MLI,49.524127647857,50.4758765160703,24015789,53.066,46.934,,,,,,,,,,,,2725.955859,,2.7,2.6,2.7,19.6,20.4,20.0,9.6,127.0,,,,
147,Seychelles,3,0,0,0,0,2057968519.83091,17167.1909760833,119878.0,73.8487804878049,,,0.3333333333,SYC,47.5490241356696,52.4509758643304,120483,40.758,59.242,,,,,,,,,,,,32693.64026,,3.2,3.2,3.2,14.3,14.3,14.3,0.0,137.0,,,,
148,Chile,48,1,1,0,2,302116539409.03,15411.1739539112,19603733.0,79.519,7.98,0.19,0.375,CHL,50.3723592222308,49.6276407777692,19658839,11.884,88.116,,,,,,,,,,,336376.1559,33284.49473,,4.0,3.4,3.7,19.3,15.9,17.6,0.0,127.0,,,,
149,Philippines,22,2,0,2,4,404353369604.631,3499.10727950801,115559009.0,72.187,6.66,0.388,0.6818181818,PHL,49.2035680687854,50.7964327708013,119106224,51.386,48.614,,,,,,,,,,,436732.1999,10755.49885,,5.7,6.1,5.9,43.8,44.5,44.1,5.9,125.0,,,,
150,Belize,1,0,0,0,0,2830507575.6841,6984.21695968163,405272.0,70.962,,0.454,0.0,BLZ,49.7551937329596,50.2448062670404,416656,53.162,46.838,,,,,,,,,,,,14195.31362,,5.9,5.9,5.9,45.5,45.5,45.5,4.6,124.0,,,,
151,Myanmar,2,0,0,0,0,62253049891.6449,1149.01896107058,54179306.0,67.256,0.74,0.479,0.5,MMR,50.2643697061244,49.7356302938756,54964694,67.53,32.47,,,,,,,,,,,,5905.24312,,7.3,6.5,6.9,32.9,31.1,32.0,5.3,121.0,,,,
152,Barbados,4,0,0,0,0,5840673700.0,20738.4511868198,281635.0,77.706,,0.289,0.5,BRB,52.0160533316331,47.9839466683669,282309,68.452,31.548,,,,,,,,,,,,19357.16944,,8.0,6.8,7.4,33.3,28.8,31.1,3.5,131.0,,,,
153,Tunisia,27,1,1,1,3,44579761022.8993,3607.91023773078,12356117.0,74.263,5.51,0.237,0.5185185185,TUN,50.7016369446152,49.2983630553848,12564689,29.12,70.88,,,,,,,,,,,48609.76405,13681.61109,,10.7,11.8,11.3,26.4,27.0,26.7,3.2,148.0,,,,
154,Benin,5,0,0,0,0,17425418044.2906,1304.99479694323,13352864.0,59.954,4.68,0.649,0.4,BEN,49.8859309810348,50.1140690189652,14080072,49.331,50.669,,,,,,,,,,,,4248.310817,,16.2,15.4,15.8,64.2,62.4,63.3,10.3,126.0,,,,
155,El Salvador,8,0,0,0,0,31988920000.0,5048.443972532,6336392.0,71.475,4.71,0.369,0.125,SLV,52.3985861176692,47.6014138823308,6396289,24.004,75.996,,,,,,,,,,,34015.18157,12542.30901,,17.9,13.7,15.8,53.8,39.9,46.9,6.8,122.0,,,,
156,Jamaica,58,1,3,2,6,17097760686.7775,6047.2164436428,2827377.0,70.629,7.06,0.35,0.5,JAM,50.4343765687296,49.5656234312704,2824738,42.238,57.762,,,,,,,,,,,19505.12202,11475.00574,,26.2,27.0,26.6,54.2,56.0,55.1,7.3,116.0,,,,
157,Afghanistan,6,0,0,0,0,14502158192.0904,352.603733092107,41128771.0,62.879,0.32,0.665,0.5,AFG,49.5423760661887,50.4576239338113,43372950,72.735,27.265,,,,,,,,,,,,,,34.7,26.5,30.6,85.4,76.4,80.9,30.4,105.0,,,,
158,South Sudan,14,0,0,0,0,,,10913164.0,55.567,,,0.07142857143,SSD,50.4341633463662,49.5658277860995,11277092,78.44,21.56,,,,,,,,,,,,,,63.2,63.2,63.2,87.3,87.3,87.3,19.6,109.0,,,,
159,Kyrgyzstan,16,0,2,4,6,12134931017.9465,1739.79999970559,6974900.0,72.0487804878049,3.7,0.345,0.3125,KGZ,50.9106226294322,49.0893919912931,7212168,61.834,38.166,,,,,,,,,,,,7102.767219,,1.2,1.0,1.1,7.5,6.6,7.0,6.1,116.0,,,,
160,Peru,26,0,0,1,1,246488757636.211,7239.11131130898,34049588.0,73.385,5.81,0.36,0.6538461538,PER,50.5038571140744,49.4961428859256,34683444,20.861,79.139,,,,,,,,,,,267765.3082,16717.3831,,22.3,18.3,20.3,57.7,45.8,51.7,7.0,121.0,,,,
161,Tonga,4,0,0,0,0,500274898.085221,4681.67940711244,106858.0,71.27,,0.462,0.5,TON,50.514799922711,49.485200077289,108683,76.79,23.21,,,,,,,,,,,,,,2.6,2.6,2.6,14.8,14.8,14.8,,,,,,
162,Australia,461,18,19,16,53,1692956646855.7,65077.676668821,26014399.0,83.2,8.66,0.063,0.5553145336,AUS,50.3337105940857,49.6662894059143,26889126,13.25,86.75,,,,,,,,,,,1739743.743,69114.73789,,3.6,4.8,4.2,13.0,12.8,12.9,0.0,138.0,9936000000.0,0.4057292101,,
163,Guyana,5,0,0,0,0,14718388489.2086,18199.4748396968,808726.0,65.989,6.26,0.416,0.6,GUY,50.9481523778847,49.0518476221153,819594,72.684,27.316,,,,,,,,,,,,55262.52483,,4.7,4.7,4.7,25.5,25.5,25.5,0.0,142.0,,,,
164,Tajikistan,14,0,0,3,3,10713525200.3998,1076.43469114729,9952787.0,71.288,1.94,0.269,0.2142857143,TJK,49.6736925172528,50.3263171618717,10331513,71.477,28.523,,,,,,,,,,,,5082.171803,,7.2,6.3,6.7,29.1,26.8,28.0,8.7,121.0,,,,
165,Burkina Faso,8,0,0,0,0,18820219331.2261,830.043965850311,22673762.0,59.766,2.73,0.577,0.375,BFA,50.1538092285705,49.8461865768421,23840247,66.834,33.166,,,,,,,,,,,,2726.94231,,6.8,7.6,7.2,39.3,42.1,40.7,15.4,119.0,,,,
166,Suriname,5,0,0,0,0,3620987993.32637,5858.82466074423,618040.0,70.289,6.88,0.405,0.2,SUR,50.3208568906701,49.6791431093299,628785,33.467,66.533,,,,,,,,,,,,21047.18256,,8.2,6.2,7.2,40.4,31.3,35.8,10.1,110.0,,,,
167,South Africa,149,1,3,2,6,405270850098.738,6766.48125428394,59893885.0,61.48,7.05,0.401,0.4228187919,ZAF,51.2081495083409,48.7918488528581,61020221,30.702,69.298,,,,,,,,,,,381126.6775,15847.42756,,8.9,7.8,8.4,20.2,18.6,19.4,8.1,116.0,20068285001.0,0.3027552783,,
168,East Timor,4,0,0,0,0,3204753000.0,2389.2958750343,1341296.0,69.056,7.06,0.415,0.5,TLS,49.0046619894585,50.9953380105415,1379883,67.158,32.842,,,,,,,,,,,,5108.705038,,8.9,8.9,8.9,53.7,53.7,53.7,15.9,101.0,,,,
169,Ivory Coast,11,0,0,1,1,70173140101.4315,2491.89593372995,28160542.0,58.916,4.22,0.612,0.6363636364,CIV,49.5605996925613,50.4394003074387,29603302,46.356,53.644,,,,,,,,,,,,7790.85552,,9.1,8.8,8.9,39.4,39.3,39.4,9.6,132.0,,,,
170,Egypt,148,1,1,1,3,476747720364.742,4295.40749561014,110990103.0,70.159,2.93,0.389,0.3513513514,EGY,49.4507829775575,50.5492170224425,114484252,56.742,43.258,,,,,,,,,,,389512.2528,18816.50559,,11.7,9.0,10.4,32.5,27.1,29.8,8.5,133.0,,,,
171,Togo,5,0,0,0,0,8169476148.95692,923.240371150258,8848699.0,61.588,2.99,0.578,0.6,TGO,49.7187195492775,50.2812804507225,9260864,54.936,45.064,,,,,,,,,,,,3155.32,,10.0,11.8,10.9,55.6,58.5,57.0,12.8,114.0,,,,
172,Bangladesh,5,0,0,0,0,460131688909.301,2687.89906307087,171186372.0,73.698,5.87,0.498,0.2,BGD,50.5014369934734,49.4985630065266,174701211,58.77,41.23,,,,,,,,,,,,9065.698934,,12.2,10.5,11.4,31.6,29.5,30.5,11.9,112.0,,,,
173,Cambodia,3,0,0,0,0,29504829319.3169,1759.60802346044,16767842.0,69.896,3.05,0.486,0.3333333333,KHM,50.5284797837523,49.4715202162477,17121847,73.965,26.035,,,,,,,,,,,,5624.137515,,16.1,11.7,13.9,54.0,47.0,50.5,4.6,122.0,,,,
174,Madagascar,7,0,0,0,0,15302510500.0528,516.772196977613,29611714.0,65.23,5.26,0.574,0.5714285714,MDG,49.9180850711008,50.0819149288992,31056610,58.769,41.231,,,,,,,,,,,,1875.113672,,15.8,14.1,14.9,70.5,66.6,68.6,39.7,90.0,,,,
175,Italy,402,12,13,15,40,2066972096553.7,35068.8359738449,58940425.0,82.9,7.69,0.057,0.4825870647,ITA,51.1788766532492,48.8211216431078,58561164,27.708,72.292,28.166666666666668,7.5,14.6,14.283333333333333,38.833333333333336,39.86666666666667,22.416666666666668,21.75,13.049999999999999,14.833333333333334,2302393.81,58754.90788,,0.0,0.0,0.0,1.9,2.1,2.0,0.0,149.0,,,0.5,0.69
176,Germany,428,12,13,8,33,4082469490797.68,48717.9911402128,83797985.0,80.7056097560976,8.8,0.071,0.4953271028,DEU,50.6278588189463,49.3721411810537,84378888,22.105,77.895,19.3,21.8,23.906451612903226,20.9125,46.82258064516129,44.375,15.12258064516129,15.2375,2.509677419354839,4.5375,4528476.778,69338.29323,,1.0,2.0,1.5,3.4,4.7,4.0,0.0,144.0,9954000000.0,0.2567574888,0.5,0.56
177,Greece,100,1,1,6,8,217581324512.059,20867.2690861087,10426919.0,80.6365853658537,8.14,0.12,0.42,GRC,51.178125776494,48.821874223506,10319099,19.016,80.984,41.0,2.5,11.6,12.5,33.55,37.0,23.7,25.1,21.9,17.35,237993.6985,41186.8122,,1.8,1.1,1.5,7.0,5.8,6.4,0.0,134.0,,,1.0,0.62
178,France,573,16,26,22,64,2779092236505.85,40886.2532680273,67971311.0,82.2292682926829,8.07,0.084,0.4921465969,FRA,51.7218796078964,48.2781203921036,68288544,17.956,82.044,39.666666666666664,10.666666666666666,24.633333333333336,24.316666666666666,46.949999999999996,48.083333333333336,12.733333333333334,12.466666666666667,6.75,7.2,3056818.677,61156.77282,,2.4,2.1,2.3,8.1,7.7,7.9,0.0,145.0,,,1.0,1.01
179,Switzerland,127,1,2,5,8,818426550206.45,93259.9057183024,8775760.0,83.4536585365854,9.14,0.018,0.4881889764,CHE,50.2899813600761,49.7100186399239,8900261,25.673,74.327,29.0,16.0,36.1,35.75,43.9,43.55,4.0,5.7,3.1500000000000004,3.0,894976.5793,92980.40188,,0.9,1.4,1.1,2.2,2.7,2.5,0.0,132.0,2644334096.0,0.3383654912,1.0,0.89
180,Bulgaria,46,3,1,3,7,90346169914.9349,13974.4492487792,6465097.0,74.3609756097561,6.41,0.206,0.5434782609,BGR,51.5046123698085,48.4954027390927,6378654,22.963,77.037,32.0,4.0,20.85,20.55,32.0,37.65,18.0,19.05,9.0,9.4,102266.2602,38689.54807,,3.3,1.7,2.5,17.8,11.9,14.8,0.0,121.0,,,0.3,0.37
181,Cyprus,16,0,1,0,1,29250532020.0746,32048.248046875,1251488.0,81.889,7.38,0.253,0.5625,CYP,49.9107978370742,50.0892021629258,1268467,32.918,67.082,17.0,2.0,15.1,16.6,34.5,35.9,16.7,17.5,15.2,15.8,32237.03959,57100.46484,,,,,,,,0.0,120.0,,,0.6,0.68
182,Slovakia,28,0,0,1,1,115584743573.553,21279.4589247729,5431752.0,77.0658536585366,7.07,0.184,0.5,SVK,51.1268611805503,48.8731388194497,5347487,45.828,54.172,24.0,5.0,11.399999999999999,14.45,39.599999999999994,42.3,26.950000000000003,22.85,10.95,10.55,132861.528,44650.20283,,2.2,1.7,2.0,10.3,7.7,9.0,3.6,116.0,,,0.6,0.4
183,Austria,78,2,0,3,5,470941926750.741,52084.6811953372,9041851.0,81.0926829268293,8.28,0.048,0.4615384615,AUT,50.7265399366101,49.2734600633899,9144349,40.181,59.819,38.0,27.5,22.45,22.95,43.05,43.2,13.2,13.7,4.45,6.7,512551.2394,73751.35271,,1.5,2.0,1.8,4.4,5.4,4.9,0.0,151.0,1360050000.0,0.3042989144,0.6,0.73
184,Netherlands,273,15,7,12,34,1009398719033.08,57025.01245598,17700982.0,81.7146341463415,9.0,0.025,0.5970695971,NLD,50.2613614017217,49.7386385982783,17924550,6.547,93.453,22.0,71.0,32.333333333333336,31.46666666666667,43.56666666666666,44.5,7.3,8.200000000000001,3.1999999999999997,3.6333333333333333,1154653.211,78215.0663,,,,,,,,,,4933000000.0,0.5146320115,1.2,0.99
185,Luxembourg,14,0,0,0,0,81641807865.7591,125006.021815486,653103.0,83.0463414634146,8.81,0.043,0.4285714286,LUX,49.6676209276384,50.3323790723616,675135,7.73399999999999,92.266,41.0,8.0,32.5,35.4,46.5,43.3,8.9,8.1,3.1,2.8,86146.02621,143341.4731,,0.0,0.7,0.6,2.6,2.6,2.6,0.0,133.0,397037000.0,0.5121141766,1.2,0.79
186,Hungary,170,6,7,6,19,177006128624.627,18355.8278072065,9643048.0,76.0170731707317,6.72,0.23,0.5058823529,HUN,51.9213970434997,48.0786029565003,9449423,26.821,73.179,34.5,8.0,12.55,20.0,42.5,38.85,16.5,14.2,6.4,8.3,212397.3901,45942.16949,,4.0,3.2,3.6,16.9,13.1,15.0,0.0,132.0,,,1.7,0.55
187,Iceland,5,0,0,0,0,28701830401.6837,75135.0916136358,382003.0,82.1707317073171,9.45,0.039,0.6,ISL,48.7440725040973,51.2559274959027,395990,5.90600000000001,94.094,16.0,10.0,45.6,39.9,35.7,39.7,4.4,7.3,4.7,4.4,31341.81332,77567.19181,,2.4,1.5,1.9,8.4,5.6,7.0,0.0,144.0,60469708955.0,1.605497347,3.3,2.57
188,Belgium,165,3,1,6,10,583613982019.263,49942.0906424887,11685814.0,81.6975609756098,7.64,0.044,0.5151515152,BEL,50.5412275791595,49.4587809563414,11851030,1.776,98.224,37.0,16.666666666666668,22.666666666666668,24.96666666666667,49.03333333333334,45.73333333333333,9.933333333333334,12.700000000000001,6.033333333333334,6.0,632358.8013,70455.95843,,2.0,2.0,2.0,7.9,6.8,7.3,0.0,153.0,,,0.7,0.65
189,Latvia,29,0,0,0,0,40422521943.4418,21508.4003332167,1879383.0,74.580487804878,7.38,0.142,0.4482758621,LVA,53.5229582817748,46.4770417182252,1861411,31.185,68.815,77.28888888888889,8.685714285714285,15.2,10.4,37.8,44.8,19.0,19.3,6.6,6.9,42273.36977,42501.02788,,1.8,1.3,1.5,11.4,9.1,10.2,0.0,136.0,,,0.7,0.55
190,Portugal,73,1,2,1,4,255196659934.378,24515.2657495716,10409704.0,81.5804878048781,7.75,0.076,0.5068493151,PRT,52.7838382510467,47.2161519674228,10497224,31.577,68.423,28.5,1.5,13.700000000000001,15.0,50.95,54.8,18.3,17.0,5.1,5.699999999999999,289181.9621,48758.85702,,3.4,3.2,3.3,14.4,10.2,12.3,0.0,143.0,,,0.7,0.9
191,Romania,106,3,4,2,9,298891515898.026,15692.3071700143,19047009.0,75.3048780487805,6.45,0.23,0.5188679245,ROU,51.6211329060876,48.3788670939125,18837662,45.12,54.88,38.666666666666664,3.6666666666666665,20.433333333333334,21.233333333333334,38.733333333333334,36.9,14.5,17.366666666666667,9.066666666666668,10.066666666666668,350742.8329,47903.34115,,7.2,6.9,7.1,20.9,17.3,19.1,0.0,146.0,,,0.7,0.28
192,Denmark,124,2,2,5,9,400167196948.707,67790.0539923276,5903037.0,81.3048780487805,9.28,0.009,0.5403225806,DNK,50.2405763258888,49.7594405099925,5972149,11.374,88.626,16.0,48.5,34.900000000000006,32.65,32.400000000000006,36.05,8.9,10.6,5.1,6.15,407069.749,76687.90284,,1.6,2.1,1.9,7.3,6.8,7.1,0.0,141.0,8817000000.0,0.3106306595,0.7,1.25
193,Ireland,134,4,0,3,7,533140011838.276,103983.29133582,5127170.0,83.0560975609756,9.19,0.072,0.4776119403,IRL,50.4240906434805,49.5759093565195,5294808,35.24,64.76,35.0,17.0,32.1,31.6,42.4,41.9,13.9,14.5,5.4,4.8,552101.5811,127623.3944,,1.2,2.1,1.6,3.9,4.6,4.2,0.0,155.0,,,0.4,0.99
194,Croatia,73,2,2,3,7,71997070660.4835,18673.1779905036,3855641.0,77.5756097560976,6.5,0.087,0.2054794521,HRV,51.2337622757283,48.7662377242717,3831518,41.055,58.945,26.0,13.0,16.8,14.6,40.2,40.9,24.4,26.5,10.0,11.5,84300.3818,45909.63448,,1.3,1.5,1.4,8.8,7.1,7.9,0.0,132.0,,,0.8,0.52
195,Slovenia,90,2,1,0,3,60063475466.3446,28439.3340989687,2111986.0,81.2829268292683,7.75,0.049,0.4888888889,SVN,49.690202528121,50.309797471879,2119415,43.562,56.438,20.0,26.0,32.1,29.4,42.7,49.0,10.5,11.0,4.6,4.0,69384.30075,54947.47014,,1.5,0.0,0.9,10.9,4.9,7.9,0.0,125.0,,,0.8,0.71
196,Malta,5,0,0,0,0,18357069272.7682,34563.3966270232,531113.0,82.7,7.93,0.117,0.4,MLT,47.836755225994,52.163244774006,554617,4.994,95.006,13.0,1.0,16.9,17.0,27.4,28.1,20.4,21.5,15.0,14.1,22310.98319,62445.68149,,2.3,1.6,2.0,9.8,6.6,8.2,0.0,129.0,,,0.9,0.55
197,Finland,56,0,0,0,0,281887430795.721,50734.7107480889,5556106.0,81.1878048780488,9.3,0.032,0.5892857143,FIN,50.5655611664816,49.4344388335184,5586664,14.128,85.872,42.0,19.0,28.2,27.05,55.3,54.900000000000006,8.1,8.5,3.0,2.9000000000000004,295606.0687,65060.67416,,2.9,3.2,3.0,14.0,11.2,12.6,0.0,130.0,,,0.9,1.14
198,Spain,383,5,4,9,18,1417800466262.65,29674.5442864413,47778340.0,83.0829268292683,8.07,0.059,0.5039164491,ESP,50.9792299780342,49.0207700219658,48318580,18.198,81.802,31.5,3.75,19.3,19.675,43.849999999999994,46.675,16.525,16.175,11.7,10.3,1620411.367,52779.23406,,1.9,1.2,1.5,8.4,5.3,6.9,0.0,136.0,5998000000.0,0.4454918645,0.9,1.16
199,Norway,107,4,1,3,8,593726965415.619,108798.451165901,5457127.0,82.5609756097561,9.81,0.012,0.476635514,NOR,49.5194739229124,50.4805079430017,5558215,15.682,84.318,18.0,14.0,21.6,22.8,43.6,42.9,17.6,15.4,5.0,7.0,486228.5941,104459.8119,,1.0,1.8,1.4,7.1,6.5,6.8,0.0,134.0,19836000000.0,0.3560796982,0.9,1.12
200,Poland,210,1,4,5,10,689763329458.441,18732.4977273198,36821749.0,77.3048780487805,7.18,0.105,0.5666666667,POL,51.5749448444853,48.4250551555147,35992900,39.67,60.33,19.25,10.25,23.85,21.674999999999997,49.1,50.475,10.125,11.625,3.425,4.625,811883.2153,49463.99117,,0.9,0.8,0.9,6.5,4.4,5.4,0.0,137.0,,,0.9,0.44
201,Lithuania,51,0,2,2,4,71013953448.2085,25078.7453655669,2831639.0,75.7926829268293,7.31,0.098,0.4705882353,LTU,52.9916094708924,47.0083905291076,2845566,31.064,68.936,17.0,3.0,13.3,13.5,39.6,39.8,16.8,19.6,9.3,7.3,79822.4719,51877.00652,,1.7,1.0,1.3,7.4,4.8,6.1,0.0,139.0,,,0.9,0.46
202,Estonia,24,0,0,0,0,37921480881.5429,28114.1431760201,1348840.0,77.9439024390244,7.96,0.093,0.3333333333,EST,52.4222522271863,47.5777477728137,1361835,29.981,70.019,26.0,1.0,25.133333333333336,22.3,45.166666666666664,42.2,8.766666666666667,11.9,1.7333333333333334,3.2,41274.34941,48992.14095,,1.1,0.8,1.0,10.2,8.5,9.3,0.0,131.0,,,1.3,0.97
203,Sweden,118,4,4,3,11,590409594949.102,56299.5057328064,10486941.0,83.109756097561,9.39,0.023,0.5169491525,SWE,49.5733566405329,50.4266433594671,10592565,11.024,88.976,30.5,27.5,20.950000000000003,18.65,43.2,43.95,9.65,12.3,6.4,5.55,585201.9303,70206.61164,,1.5,2.1,1.8,5.8,6.2,6.0,0.0,128.0,,,1.3,1.33
